Reason_1,Reason_2,Reason_3,Month Value,Transportation Expense,Age,Body Mass Index,Education,Children,Pets,Probability_of_excessivly_absent
0,0,0,7,289,33,30,0,2,1,0.5650867051428717
0,0,0,7,118,50,31,0,1,0,0.14731807428005828
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
1,0,0,7,279,39,24,0,2,0,0.8710797565400128
0,0,0,7,289,33,30,0,2,1,0.5650867051428717
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
0,0,0,7,361,28,27,0,1,4,0.4574438112033867
0,0,0,7,260,36,23,0,4,0,0.5727488353814137
0,0,1,7,155,34,25,0,2,0,0.804765507508928
0,0,0,7,235,37,29,1,1,1,0.27831471919128625
1,0,0,7,260,36,23,0,4,0,0.9146179541205164
1,0,0,7,260,36,23,0,4,0,0.9146179541205164
1,0,0,7,260,36,23,0,4,0,0.9146179541205164
1,0,0,7,179,38,31,0,0,0,0.7149424216482618
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
1,0,0,7,246,41,23,0,0,0,0.7084328602743768
0,0,0,7,179,38,31,0,0,0,0.2388882112158331
0,0,1,7,179,38,31,0,0,0,0.7862480293539182
1,0,0,7,189,33,25,0,2,2,0.7080834686479098
0,0,0,8,248,47,32,0,2,1,0.4142451691970046
1,0,0,8,330,28,25,1,0,0,0.8750377124727496
1,0,0,8,179,38,31,0,0,0,0.7233578453862777
1,0,0,8,361,28,27,0,1,4,0.8753731497995896
0,0,0,8,260,36,23,0,4,0,0.5829131311771253
0,0,1,8,289,33,30,0,2,1,0.9407405105636923
0,0,0,8,361,28,27,0,1,4,0.4678023213436028
0,0,0,8,289,33,30,0,2,1,0.5752981180686756
0,0,0,8,157,29,22,0,0,0,0.1625143625396185
0,0,1,8,289,33,30,0,2,1,0.9407405105636923
0,0,0,8,179,38,31,0,0,0,0.24654660469328515
0,0,1,8,179,38,31,0,0,0,0.7931673773323159
0,0,1,8,235,48,33,0,1,5,0.6855355101348767
0,0,0,8,235,37,29,1,1,1,0.28676085209866187
0,0,1,8,235,48,33,0,1,5,0.6855355101348767
0,0,0,8,179,38,31,0,0,0,0.24654660469328515
0,0,0,8,361,28,27,0,1,4,0.4678023213436028
0,0,0,8,289,33,30,0,2,1,0.5752981180686756
1,0,0,8,291,32,23,0,0,0,0.8316528587848478
0,0,0,8,235,48,33,0,1,5,0.1568425375505508
0,0,0,8,260,36,23,0,4,0,0.5829131311771253
0,0,0,9,184,27,21,0,0,0,0.20324872185855236
0,0,0,9,118,37,28,0,0,0,0.1438874446540934
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,1,9,235,43,38,0,1,0,0.9239973430988043
0,0,0,9,155,34,25,0,2,0,0.27656714474296384
0,0,0,9,118,37,28,0,0,0,0.1438874446540934
0,0,0,9,179,38,31,0,0,0,0.2543684614561826
0,0,0,9,291,40,25,0,1,1,0.38150904376099615
0,0,0,9,260,36,23,0,4,0,0.5930074464606686
1,0,0,9,291,40,25,0,1,1,0.8313390665054777
0,0,0,9,260,36,23,0,4,0,0.5930074464606686
0,0,0,9,225,28,24,0,1,2,0.2670382729867153
0,0,0,9,225,28,24,0,1,2,0.2670382729867153
0,0,0,9,118,37,28,0,0,0,0.1438874446540934
0,0,0,9,289,33,30,0,2,1,0.5854456629238377
0,0,0,9,118,50,31,0,1,0,0.1580970392110156
0,0,1,9,225,28,24,0,1,2,0.810235177358442
